ID,NAME,PROVINCECODE,PROVINCE,CITYCODE,CITY,COUNTYCODE,COUNTY,TYPE,TYPECODE,ADDRESS,XGCJ,YGCJ,XWGS,YWGS,RATE,COST
B001B065D6,武汉市中心医院南京路院区,420000,湖北省,027,武汉市,420102,江岸区,医疗保健服务;综合医院;三级甲等医院,090101,胜利街26号,114.294982,30.581130999999999,114.289551367,30.583561887199998,,
B001B06EXJ,武汉瑞祥中医骨科医院,420000,湖北省,027,武汉市,420104,硚口区,医疗保健服务;综合医院;综合医院,090100,解放大道355号,114.220707,30.585037,114.215251886,30.5874875695,,
B001B08BP0,武汉天一中医医院,420000,湖北省,027,武汉市,420104,硚口区,医疗保健服务;综合医院;综合医院,090100,解放大道1127附1号,114.265041,30.579986,114.259628648,30.5824494123,5.0,
B001B09AFJ,汉阳区琴断口街社区卫生服务中心,420000,湖北省,027,武汉市,420105,汉阳区,医疗保健服务;综合医院;卫生院,090102,汉阳大道639号,114.220556,30.558619,114.215102884,30.5610790907,3.0,
B001B0A5NH,黄金甫西医内科诊所,420000,湖北省,027,武汉市,420117,新洲区,医疗保健服务;诊所;诊所,090300,齐安大道332号附近,114.80406951904297,30.844635009765625,114.79885101318359,30.847017288208008,,
B001B0ADX5,武汉东西湖肖述华中西医结合诊所,420000,湖北省,027,武汉市,420112,东西湖区,医疗保健服务;诊所;诊所,090300,田园街58号,114.130925,30.620107,114.125232893,30.6223976475,,
B001B0AUXO,富康激光医疗美容,420000,湖北省,027,武汉市,420104,硚口区,医疗保健服务;专科医院;整形美容,090201,利济北路49号(近武汉市第一医院),114.271414,30.571408,114.266001402,30.5738701824,,
B001B0B19H,华中科技大学同济医学院医院,420000,湖北省,027,武汉市,420104,硚口区,医疗保健服务;综合医院;综合医院,090100,航空路13号,114.259985,30.585902,114.254571683,30.5883656313,,
B001B0I5GF,商职医院住院部,420000,湖北省,027,武汉市,420103,江汉区,医疗保健服务;综合医院;综合医院,090100,汉口大兴一路13号,114.291639,30.568125,114.286213077,30.5705655785,,
B001B0IK5L,汉兴街常二社区卫生服务站,420000,湖北省,027,武汉市,420103,江汉区,医疗保健服务;综合医院;卫生院,090102,常青三路191号(常二社区),114.258349,30.628620,114.252931616,30.6310671346,3.5,
B001B0IMZK,宗关街申新社区卫生服务站,420000,湖北省,027,武汉市,420104,硚口区,医疗保健服务;综合医院;卫生院,090102,申新街和铁桥路交叉口,114.23080299999999,30.574698999999999,114.225365852,30.577162219000002,,
B001B06129,武汉市第六医院,420000,湖北省,027,武汉市,420102,江岸区,医疗保健服务;综合医院;综合医院,090100,香港路168号,114.290399,30.600034,114.284971571,30.6024642536,2.0,
B001B06QSC,武汉钢铁(集团)公司第二职工医院,420000,湖北省,027,武汉市,420107,青山区,医疗保健服务;综合医院;综合医院,090100,青化路32号,114.487646,30.60236,114.482303874,30.6047787863,,
B001B08B5F,江岸高强中医内科诊所,420000,湖北省,027,武汉市,420102,江岸区,医疗保健服务;诊所;诊所,090300,中山大道983号,114.302438,30.596227,114.296996949,30.5986402841,3.5,
